name,mon_date,subj_date,address,material,type,com_topic,com_subtopic,author,longitude,latitude,description,inscription,mon_story,subj_story
Александровская колонна,1834,1812,"г. Санкт-Петербург, Дворцовая пл.",granite,column,event,victory,"Монферран О., Орловский Б. И.",30.3148729,59.9382398,"Архитектор: А. А. Монферран . Памяник победы в Отечественной войне 1812 г. на Дворцовой площади. Названа в честь императора Александра I. Венчает колонну бронзовая фигура ангела (его лицу приданы черты императора Александра I), попирающего крестом змею - символ победы добра над злом (скульптор Б. И. Орловский). Постамент украшен бронзовыми барельефами аллегорического содержания (скульптор П. В. Свинцов, И. Леппе, по эскизам Дж. Б. Скотти).  Александровская колонна - композиционный центр, важнейший элемент архитектурного ансамбля Дворцовой площади.",NA,"Александровская колонна своё название получила в честь императора Александра I. Колонна была установлена в честь победы России над войсками Наполеона. Гранитный монумент весит более 600 тонн. На постаменте колонна удерживается силой собственной тяжести, без всяких креплений. Она является самым высоким монолитом в мире. Вершину колонны венчает фигура ангела, попирающего крестом змею. Лицо ангела сходно с чертами лица Александра I.  Александровская колонна - композиционный центр, важнейший элемент архитектурного ансамбля Дворцовой площади. ",Памяник победы в Отечественной войне 1812 г. на Дворцовой площади.
Александру Невскому,2002,1263,"г. Санкт-Петербург, пл. Александра Невского",bronze,sculpture,person,politics,"Козенюк В. Г., Пальмин А. А.",30.3880215,59.924059,"Автор скульптуры — В. Г. Козенюк, доработки памятника — А. А. Пальмин.",NA,"Автор скульптуры — В. Г. Козенюк, доработки памятника — А. А. Пальмин.",NA
Александру Невскому,1985,1263,"г. Пушкин, Софийская пл., 1",bronze,bust,person,politics,Козенюк В. Г.,30.393759,59.70529,"Подписи: на плинте бюста справа: Ск. Козенюк. 1985 г. Надписи: на кольце в арке литыми знаками: 1240 – 1990; на бюсте литыми знаками: Александр / Невский Памятник установлен к 750-летию Невской битвы 1240 года, по инициативе и при участии Колпинского художественно-проектного кооператива «Зодчий». Бюст Александра Невского представляет собой часть проекта конной статуи, представленного скульптором В. Г. Козенюком на конкурс памятника Великому князю в 1990 г. и получившего вторую премию.",Подписи: на плинте бюста справа: Ск. Козенюк. 1985 г. Надписи: на кольце в арке литыми знаками: 1240 – 1990; на бюсте литыми знаками: Александр / Невский,"Памятник установлен к 750-летию Невской битвы 1240 года, по инициативе и при участии Колпинского художественно-проектного кооператива «Зодчий». Бюст Александра Невского представляет собой часть проекта конной статуи, представленного скульптором В. Г. Козенюком на конкурс памятника Великому князю в 1990 г. и получившего вторую премию.",NA
Алексееву В. П.,1928,1919,"г. Санкт-Петербург, пр. Стачек, 22",bronze,bust,person,civic,NA,30.2726449,59.8908903,"Алексеев Василий Петрович (1896-1919) - рабочий Путиловского завода, член Нарвского райкома РСДРП, один из организаторов Петроградского социалистического союза рабочей молодежи. Участник гражданской войны, в 1919 г. председатель Гатчинского ревкома. Умер от тифа. Скульптор: Харламов Матвей Яковлевич  Надписи: на постаменте с лицевой стороны врезными тонированными знаками: Вася Алексеев / Один из основателей / комсомола / род. 1897 г. / ум. 1919 г. Первоначально памятник В. П. Алексееву в 1928 г. был установлен перед зданием, где в августе 1917 г. проходил VI съезд партии большевиков (Алексеев был его участником). В связи со строительством на этом месте Дворца культуры им. А.М. Горького и реконструкцией площади Стачек в 1930-е гг. памятник был перенесен в Сад 9-го января. В 1989 и 1990 гг. бюст сбрасывался с постамента, вследствие чего Государственный музей городской скульптуры перенес его в свои фонды. В настоящее время в Саду 9-го Января установлена гипсовая копия бюста.",Надписи: на постаменте с лицевой стороны врезными тонированными знаками: Вася Алексеев / Один из основателей / комсомола / род. 1897 г. / ум. 1919 г.,"Первоначально памятник В. П. Алексееву в 1928 г. был установлен перед зданием, где в августе 1917 г. проходил VI съезд партии большевиков (Алексеев был его участником). В связи со строительством на этом месте Дворца культуры им. А.М. Горького и реконструкцией площади Стачек в 1930-е гг. памятник был перенесен в Сад 9-го января. В 1989 и 1990 гг. бюст сбрасывался с постамента, вследствие чего Государственный музей городской скульптуры перенес его в свои фонды. В настоящее время в Саду 9-го Января установлена гипсовая копия бюста.","Алексеев Василий Петрович (1896-1919) - рабочий Путиловского завода, член Нарвского райкома РСДРП, один из организаторов Петроградского социалистического союза рабочей молодежи. Участник гражданской войны, в 1919 г. председатель Гатчинского ревкома. Умер от тифа."
"Алексею Николаевичу, цесаревичу",1994,1918,"г. Петергоф, пр. Санкт-Петербургский, 3",bronze,sculpture,person,politics,Зайко В. В.,29.9299158,59.8773443,"Алексей Николаевич, великий князь (1904-1918). Цесаревич, сын императора Николая II и императрицы Александры Федоровны. Святой российский страстотерпец. Подписи: на тыльной стороне скульптуры факсимиле Зайко В. В. Памятник цесаревичу Алексею Николаевичу поставлен в петергофском парке Александрия. Здесь на берегу залива находилась разрушенная в 1941-1944 гг. т.н. Нижняя дача (1883-1885 гг., арх. А. И. Томишко), где 30 июля (12 августа) 1904 г. родился наследник престола. Инициатива создания памятника принадлежит Государственному музею-заповеднику «Петергоф», средства на сооружение предоставил петербургский филиал АвтоВАЗбанка. Скульптура отлита в мастерской Политехнического института. Установлена на мраморном постаменте XIX в.",Подписи: на тыльной стороне скульптуры факсимиле Зайко В. В,"Инициатива создания памятника принадлежит Государственному музею-заповеднику «Петергоф», средства на сооружение предоставил петербургский филиал АвтоВАЗбанка. Скульптура отлита в мастерской Политехнического института. Установлена на мраморном постаменте XIX в.","Алексей Николаевич, великий князь (1904-1918). Цесаревич, сын императора Николая II и императрицы Александры Федоровны. Святой российский страстотерпец."
Ахматовой А. А.,1991,1966,"г. Санкт-Петербург, ул. Восстания, 8",granite,sculpture,person,art,Трояновский В. И.,30.3590388,59.9341483,"Ахматова (Горенко) Анна Андреевна (1889-1966). Русский поэт, жизнь и творчество которой тесно связаны с Петербургом-Ленинградом и Царским Селом (г.Пушкин), где Ахматова жила до 1916 г.  Скульптор: Трояновский В. И. Архитектор: Васильковский В. С. Подписи: на плинте скульптуры справа врезными знаками: Трояновский. Надписи: на постаменте врезными тонированными знаками с лицевой стороны: Анна /Ахматова; с левой стороны: В дар гимназии /от фирмы «Индэкс». Гранитная скульптура А. А. Ахматовой вырублена скульптором В. И. Трояновским в 1989 г. к 100-летию со дня рождения поэта. Статуя приобретена у автора руководством фирмы «Индэкс» и передана в дар гимназии № 209, перед зданием которой установлена.",Подписи: на плинте скульптуры справа врезными знаками: Трояновский. Надписи: на постаменте врезными тонированными знаками с лицевой стороны: Анна /Ахматова; с левой стороны: В дар гимназии /от фирмы «Индэкс».,"Гранитная скульптура А. А. Ахматовой вырублена скульптором В. И. Трояновским в 1989 г. к 100-летию со дня рождения поэта. Статуя приобретена у автора руководством фирмы «Индэкс» и передана в дар гимназии № 209, перед зданием которой установлена.","Ахматова (Горенко) Анна Андреевна (1889-1966). Русский поэт, жизнь и творчество которой тесно связаны с Петербургом-Ленинградом и Царским Селом (г.Пушкин), где Ахматова жила до 1916 г."
Бабушкину И. В.,1974,1906,"г. Санкт-Петербург, Ново-Александровская ул., 23, музей «Невская застава»",bronze,bust,person,civic,Игнатьев А. М.,30.460057,59.865712,"Бабушкин Иван Васильевич (1873-1906). Рабочий-революционер, член петербургского «Союза борьбы за освобождение рабочего класса», участник революции 1905-1907 гг., организатор вооруженного восстания в Чите, расстрелян карателями. Скульптор: Игнатьев А. М. Архитектор: Леляков А. Г. Подписи: на бюсте с тыльной стороны: Отлито / на з-де / Экономайзер / 1974 / ск. Игнатьев А.М. Надписи: на постаменте с лицевой стороны врезными тонированными знаками: И. В. Бабушкин. За Невской заставой, на Ново-Александровской улице, сохранился деревянный дом, в котором жил В. А. Шелгунов, один из участников организованного В.И. Лениным марксистского кружка «Союз борьбы за освобождение рабочего класса». С 1960 г. в отреставрированном здании разместился историко-краеведческий музей «Невская застава». На площади перед зданием музея в 1974 г. завершено сооружение мемориального скульптурного комплекса, включающего гранитную стелу с портретом В. И. Ленина и пять бюстов участников «Союза борьбы...», в том числе И.В. Бабушкина. Бюсты отлиты из бронзы по авторским моделям на заводе «Экономайзер».",Подписи: на бюсте с тыльной стороны: Отлито / на з-де / Экономайзер / 1974 / ск. Игнатьев А.М. Надписи: на постаменте с лицевой стороны врезными тонированными знаками: И. В. Бабушкин.,"За Невской заставой, на Ново-Александровской улице, сохранился деревянный дом, в котором жил В. А. Шелгунов, один из участников организованного В.И. Лениным марксистского кружка «Союз борьбы за освобождение рабочего класса». С 1960 г. в отреставрированном здании разместился историко-краеведческий музей «Невская застава». На площади перед зданием музея в 1974 г. завершено сооружение мемориального скульптурного комплекса, включающего гранитную стелу с портретом В. И. Ленина и пять бюстов участников «Союза борьбы...», в том числе И.В. Бабушкина. Бюсты отлиты из бронзы по авторским моделям на заводе «Экономайзер».","Бабушкин Иван Васильевич (1873-1906). Рабочий-революционер, член петербургского «Союза борьбы за освобождение рабочего класса», участник революции 1905-1907 гг., организатор вооруженного восстания в Чите, расстрелян карателями."
Балабушке М. Г.,1913,1913,"г. Петергоф, Бондаровской Юты ул., 21",granite,stone,person,military,NA,29.9302939,59.8621092,"Михаил Георгиевич Балабушка ( 1890-1913)— один из первых русских авиаторов. Совершая полет из Петербурга в Гатчину, потерпел аварию над Петергофом и разбился. Памятник установлен на месте гибели летчика офицерами 148-го пехотного Каспийского полка, квартировавшего в Петергофе. Надписи: на лицевой стороне врезными тонированными знаками: 1913 г. Мая 18 дня въ 5 час. утра / при полете на аэроплане Ньюпоръ / здесь упал и разбился поручик Михаилъ Геориевич / Балабушка. / военный летчик / 18го Корпуснаго Авиационнаго отряда / 1ой Авиационной роты; на тыльной стороне: “Каспийцы / беззаветному герою / 1го октября 1913 г..",Надписи: на лицевой стороне врезными тонированными знаками: 1913 г. Мая 18 дня въ 5 час. утра / при полете на аэроплане Ньюпоръ / здесь упал и разбился поручик Михаилъ Геориевич / Балабушка. / военный летчик / 18го Корпуснаго Авиационнаго отряда / 1ой Авиационной роты; на тыльной стороне: “Каспийцы / беззаветному герою / 1го октября 1913 г..,"Памятник установлен на месте гибели летчика офицерами 148-го пехотного Каспийского полка, квартировавшего в Петергофе.","Михаил Георгиевич Балабушка ( 1890-1913)— один из первых русских авиаторов. Совершая полет из Петербурга в Гатчину, потерпел аварию над Петергофом и разбился."
Баланчину Дж.,2015,1983,"г. Санкт-Петербург, Б. Пушкарская ул., 14",bronze,sculpture,person,art,Прасто (Важа Микаберидзе),30.29921,59.956422,Скульптор: Прасто (Важа Микаберидзе). ,NA,Скульптор: Прасто (Важа Микаберидзе). ,NA
Барклаю де Толли М. Б.,1837,1818,"г. Санкт-Петербург, Казанская пл., 2",bronze,sculpture,person,military,Орловский Б. И.,30.3231239,59.9337374,"Михаил Богданович Барклай-де-Толли ( 16 [27] декабря 1761 — 14 [26] мая 1818 г.г.) -выдающийся русский полководец, военный министр, генерал-фельдмаршал, князь, герой Отечественной войны 1812 года. Командовал всей русской армией на начальном этапе Отечественной войны 1812 года, после чего был замещён М. И. Кутузовым. В заграничном походе русской армии 1813—1814 годов командовал объединённой русско-прусской армией в составе Богемской армии австрийского фельдмаршала князя Шварценберга. Идея создания памятников фельдмаршалам М. И. Кутузову и М. Б. Барклаю-де-Толли принадлежит императору Александру I.  В 1829 году Николаем I был организован конкурс на создания скульптур Кутузова и Барклая-де-Толли. Выиграл конкурс Борис Иванович Орловский, который в январе 1830 года приступил к исполнению статуй. Торжественное открытие памятников М. И. Кутузову и М. Б. Барклая-де-Толли произошло 25 декабря 1837 года.",NA,"Идея создания памятников фельдмаршалам М. И. Кутузову и М. Б. Барклаю-де-Толли принадлежит императору Александру I. В 1829 году Николаем I был организован конкурс на создания скульптур Кутузова и Барклая-де-Толли. Выиграл конкурс Борис Иванович Орловский, который в январе 1830 года приступил к исполнению статуй. Торжественное открытие памятников М. И. Кутузову и М. Б. Барклая-де-Толли произошло 25 декабря 1837 года.","Михаил Богданович Барклай-де-Толли ( 16 [27] декабря 1761 — 14 [26] мая 1818 г.г.) -выдающийся русский полководец, военный министр, генерал-фельдмаршал, князь, герой Отечественной войны 1812 года. Командовал всей русской армией на начальном этапе Отечественной войны 1812 года, после чего был замещён М. И. Кутузовым. В заграничном походе русской армии 1813—1814 годов командовал объединённой русско-прусской армией в составе Богемской армии австрийского фельдмаршала князя Шварценберга."
